PLAY "Jogar"
SETTINGS "Configurações"
HIGHSCORES "Pontuações"
ACHIEVEMENTS "Conquistas"
CREDITS "Créditos"
QUIT "Sair"
ADJECTIVE_INFO "{1}{2}{3}"
A_ARTICLE "um {1}"
ABANDON_GAME_CONFIRM "Deseja abandonar sua partida? Isso é permanente e o arquivo de salvamento será removido!"
ABOMINATIONS_UPGRADE_TYPE "autômatos"
ABSORB_MINION_BUTTON "Absorver"
ABSORB_TASK "Absorver {1}"
ABUSE_TASK "Abusar de {1}"
ACHIEVEMENT_EFFECT_DESCRIPTION "Desbloqueia uma conquista."
ACHIEVEMENT_EFFECT_NAME "Conquista desbloqueada"
ADD_CONSUMABLE "Adicionar consumível"
ADD_DUNGEON "Adicionar"
ADD_EXPERIENCE_DESCRIPTION "Aumenta a experiência de combate da criatura"
ADD_EXPERIENCE_NAME "experiência de combate"
ADD_RETIRED_DUNGEONS "Adicionar masmorras aposentadas"
ADD_TO_TEAM_ACTION "Adicionar à equipe"
ADVENTURER "Aventureiro"
AGGRAVATED_TRIGGER "Agressivo com lacaios"
AGGRAVATES_ENEMIES "{1} enfurece inimigos"
AI_AFRAID_OF "IA com medo de"
AIR_BLAST_EFFECT_DESCRIPTION "Cria uma rajada direcionada de ar que arremessa criaturas e itens para trás."
AIR_BLAST_EFFECT_NAME "Rajada de ar"
ALARM_EFFECT_DESCRIPTION "Dispara um alarme ou alerta criaturas próximas"
ALARM_EFFECT_NAME "alarme"
ALL_CREATURES "todas as criaturas"
ALLIED_MAGICAL_FIELD_HIGHLIGHT "Campo mágico aliado"
ALLIES "aliados"
ALL_VILLAINS "Todos os vilões"
ALLY_DOESNT_EXIST "Aliado não existe"
A_MINION_BECOMES_PREGNANT "Um lacaio engravida"
AMULET_OF "amuleto de {1}"
    "amuletos de {1}" : plural
ANALYTICS_EFFECT_DESCRIPTION "Dispara um evento de análise/registro"
ANALYTICS_EFFECT_NAME "análise"
ANIMAL_PEN_MUST_BE_SEPARATE_HIGHLIGHT "O cercado de animais deve ser separado do exterior e de todas as escadarias usando uma cerca para animais"
ANIMATE_CORPSES_EFFECT_DESCRIPTION "Anima até {1} cadáveres dos arredores."
ANIMATE_CORPSES_EFFECT_NAME "animar cadáveres"
ANIMATED_OBJECT "animado {1}"
ANIMATE_WEAPONS_EFFECT_DESCRIPTION "Anima até {1} armas dos arredores."
ANIMATE_WEAPONS_EFFECT_NAME "animar armas"
ANIMATE_SMALL_ITEMS_EFFECT_DESCRIPTION "Anima até {1} itens pequenos dos arredores."
ANIMATE_SMALL_ITEMS_EFFECT_NAME "animar itens pequenos"
ANIMATE_MEDIUM_ITEMS_EFFECT_DESCRIPTION "Anima até {1} itens de tamanho médio dos arredores."
ANIMATE_MEDIUM_ITEMS_EFFECT_NAME "animar itens médios"
ANIMATE_FURNITURE_EFFECT_DESCRIPTION "Anima até {1} peças de mobília dos arredores."
ANIMATE_FURNITURE_EFFECT_NAME "animar mobília"
ANIMATE_WALLS_EFFECT_DESCRIPTION "Anima até {1} paredes de mobília dos arredores."
ANIMATE_WALLS_EFFECT_NAME "animar paredes"
APPEARS "{1} aparece do nada!"
APPLYING_ITEM_TAKES_X_TURNS "Aplicar {1} leva {2} turnos. Tem certeza de que deseja continuar?"
ARCHERY_RANGE_TASK "Atirar no campo de tiro com arco"
ARM_BODY_PART "braço" "braços" : plural
ARMOR_DEGRADATION_DESCRIPTION "Diminui a capacidade da armadura"
ARMOR_DEGRADATION_NAME "degradação da armadura"
ARMOR_ENCHANTMENT_DESCRIPTION "Aumenta a capacidade da armadura"
